"A 상품군별(1)","A 상품군별(2)",B 판매매체별(1),M201701 2017.01,M201702 2017.02,M201703 2017.03,M201704 2017.04,M201705 2017.05,M201706 2017.06,M201707 2017.07,M201708 2017.08,M201709 2017.09,M201710 2017.10,M201711 2017.11,M201712 2017.12,M201801 2018.01,M201802 2018.02,M201803 2018.03,M201804 2018.04,M201805 2018.05,M201806 2018.06,M201807 2018.07,M201808 2018.08,M201809 2018.09,M201810 2018.10,M201811 2018.11,M201812 2018.12,M201901 2019.01,M201902 2019.02,M201903 2019.03,M201904 2019.04,M201905 2019.05,M201906 2019.06,M201907 2019.07,M201908 2019.08,M201909 2019.09,M201910 2019.10,M201911 2019.11,M201912 2019.12,M202001 2020.01,M202002 2020.02,M202003 2020.03,M202004 2020.04,M202005 2020.05,M202006 2020.06,M202007 2020.07,M202008 2020.08,M202009 2020.09,M202010 2020.10,M202011 2020.11,M202012 2020.12,M202101 2021.01,M202102 2021.02,M202103 2021.03,M202104 2021.04,M202105 2021.05,M202106 2021.06,M202107 2021.07,M202108 2021.08,M202109 2021.09,M202110 2021.10,M202111 2021.11,M202112 2021.12,M202201 2022.01,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,M202206 2022.06,M202207 2022.07,M202208 2022.08,M202209 2022.09,M202210 2022.10,M202211 2022.11,M202212 2022.12,M202301 2023.01,M202302 2023.02,M202303 2023.03,M202304 2023.04,M202305 2023.05,M202306 2023.06,M202307 2023.07,M202308 2023.08,M202309 2023.09,M202310 2023.10,M202311 2023.11,M202312 2023.12,M202401 2024.01,M202402 2024.02,M202403 2024.03,M202404 2024.04,M202405 2024.05,M202406 2024.06,M202407 2024.07,M202408 2024.08,M202409 2024.09,M202410 2024.10,M202411 2024.11,M202412 2024.12,M202501 M202501 2025.01 p),M202502 M202502 2025.02 p)
"010 화장품","소계",20 인터넷쇼핑,273399,300678,353850,251566,262428,274418,258757,280375,331282,311318,354520,290554,335960,316879,391775,363671,361374,333163,335961,342475,392815,401459,398730,352694,328732,301601,416273,384095,396828,375254,397100,433334,483892,502379,530197,492965,478871,431677,549437,613725,544433,603221,639734,709524,662349,616397,672859,589316,613312,471420,565467,546303,627130,537069,494430,389978,464003,461829,486791,306741,255987,256221,310786,272809,265303,270083,217278,212737,232194,238800,213720,210926,187114,195407,227060,255442,263103,239349,238316,238598,229689,258918,253188,196893,242686,175362,211168,228543,221242,193721,197805,188828,193578,198251,240175,242679,228935,245443
"010 화장품","소계",10 모바일쇼핑,380746,428550,361445,331769,360424,378115,360699,372187,385834,366559,434703,412990,434948,429497,439877,438758,457152,439341,443006,459509,456801,492829,512836,520553,572616,561471,609446,579626,593608,569708,589441,606331,618749,655866,680151,700083,667638,633853,455580,368768,418010,428728,430998,426372,464762,465530,509814,558970,534439,495492,546232,549965,571895,559705,558236,584729,597985,567877,632985,713159,670680,652404,691877,641235,716306,671020,638413,669468,664819,666343,705370,719183,754803,698644,756582,727506,774054,729763,715791,759262,775971,801291,841839,860470,863610,807285,881415,837523,881141,842891,808594,842432,838939,851370,887359,948361,922770,871206
"011 아동·유아용품","소계",00 계,259790,262204,300200,293596,274565,259069,264579,263530,272277,260541,299591,377236,295195,268618,298883,320420,310798,271934,287390,275805,273741,308862,310073,393574,313678,286419,337553,354227,347942,303935,318267,308960,325269,349396,361415,442747,327048,384914,399680,390843,394902,364106,370888,366351,383837,388526,397184,519588,397306,366290,417464,428652,425263,379458,399376,374984,379942,407279,420119,544895,392839,389246,442063,469053,454589,404665,408449,413402,402005,427120,449916,543411,406097,402035,471514,470032,480882,417011,415760,410168,408474,452961,465758,525247,410049,409401,470344,481393,470094,410163,406341,402403,399333,440839,457886,527741,404569,417571
"011 아동·유아용품","소계",20 인터넷쇼핑,76647,81434,95343,90564,76554,75478,72696,72846,75971,70801,84549,104274,75872,71246,84298,85677,85549,72371,72132,68243,68616,77542,79117,100708,75693,69315,81126,96255,89934,75393,81422,75234,80547,84728,84398,108853,66459,78227,80931,86909,82169,75891,79504,72768,81214,82228,92322,112654,76331,70929,81193,85608,78558,71013,73392,68068,67934,78388,83407,110133,69713,60981,74069,85998,74908,66297,63197,68743,68709,82669,90972,108600,69509,71367,98833,101064,87439,80633,75084,77147,81359,88574,93288,106500,68269,65679,90586,96342,83414,71795,72882,75309,74156,86916,91201,102401,60421,76085
"011 아동·유아용품","소계",10 모바일쇼핑,183143,180770,204856,203032,198011,183591,191882,190684,196306,189740,215042,272962,219323,197372,214584,234743,225249,199563,215258,207562,205124,231320,230956,292866,237986,217104,256428,257972,258008,228542,236846,233726,244722,264669,277017,333894,260589,306687,318749,303934,312732,288216,291385,293583,302623,306298,304863,406934,320975,295361,336271,343044,346705,308446,325984,306917,312007,328891,336712,434761,323126,328266,367994,383055,379681,338368,345252,344659,333297,344451,358944,434810,336588,330668,372681,368968,393444,336378,340675,333022,327115,364387,372469,418747,341779,343722,379758,385051,386679,338369,333460,327094,325177,353923,366685,425340,344148,341486
"012 음·식료품","소계",00 계,675851,573082,641671,652914,633354,641593,638176,692641,827851,608615,701590,709684,846822,814658,826873,810015,849044,811245,866906,905132,1000055,910407,927668,925608,1193353,867434,1027271,1058853,1111609,1040151,1092958,1215522,1233759,1190483,1198157,1217181,1355630,1419357,1548428,1434034,1405946,1357491,1496279,1553827,1895413,1554795,1655339,1879418,1981958,1741479,1840361,1823237,1873785,1788855,1903206,1982391,2080059,1901883,1934971,2062019,2323255,1964165,2278847,2132255,2192917,2098525,2152629,2512599,2252254,2159610,2283751,2310508,2583573,2152851,2461943,2372133,2537864,2438723,2511568,2663304,2778976,2508706,2622946,2594487,2954741,2610697,2813906,2797133,2921783,2718480,2857851,3028730,3045904,2912438,2926718,2938521,3225843,2826353
"012 음·식료품","소계",20 인터넷쇼핑,281528,223285,249069,266606,239172,243369,233432,254664,316807,216216,253308,258055,286550,296445,292272,284398,295067,277793,298775,301451,350883,298644,306595,315251,397250,274273,330978,348841,364339,336297,358010,407028,410214,363472,359235,376396,374501,370239,389152,373593,355963,362597,392174,384112,513649,397875,435169,477547,495902,440637,457032,456317,464656,455613,479811,503976,526388,482799,478960,502045,594975,432862,527640,512501,525944,501526,503729,612065,524875,560689,601190,624911,698147,542580,639833,612736,646110,616276,621435,655649,716039,618571,643283,622843,732566,591975,643350,634754,665365,611937,647145,694373,695772,653711,666166,635898,671936,592257
"012 음·식료품","소계",10 모바일쇼핑,394322,349797,392601,386307,394181,398224,404744,437977,511044,392399,448282,451629,560272,518213,534601,525617,553977,533452,568131,603681,649172,611763,621073,610357,796103,593161,696293,710012,747270,703854,734948,808494,823544,827011,838922,840785,981130,1049118,1159276,1060441,1049983,994894,1104106,1169716,1381764,1156920,1220170,1401871,1486056,1300842,1383329,1366920,1409129,1333242,1423395,1478414,1553671,1419084,1456011,1559974,1728280,1531303,1751207,1619753,1666973,1596998,1648900,1900534,1727379,1598920,1682561,1685596,1885426,1610270,1822110,1759398,1891753,1822448,1890134,2007655,2062937,1890135,1979663,1971645,2222174,2018722,2170557,2162380,2256418,2106543,2210706,2334357,2350132,2258727,2260552,2302623,2553907,2234096
"013 농축수산물","소계",00 계,259029,167546,194150,176139,175762,180848,182683,194090,288964,174780,208744,221852,251910,289778,228800,215400,221735,214272,224230,235082,310020,238060,256669,254558,413272,231118,278404,286290,285288,269840,282677,321530,374542,313056,325846,341186,492472,481068,554202,500913,443880,449916,493493,530773,782980,533924,560558,737017,806650,702649,646141,629164,644274,612349,650408,706447,848002,651166,658584,777554,1033083,665832,819564,741042,735748,707182,715896,892953,834066,735877,764376,833845,1084405,736757,822804,792087,842547,829502,852837,940750,1194276,891747,940129,1016181,1205917,1096244,1040752,998206,1048661,977969,982146,1066052,1220774,1032224,1040264,1120176,1477856,1066715
"013 농축수산물","소계",20 인터넷쇼핑,116799,66964,72315,65812,63704,66113,64551,68512,122538,67310,76101,75792,83591,116806,76413,71138,73233,69204,74924,74292,126449,79931,85916,80784,143447,66686,85583,90963,88609,79003,83075,104335,126828,88826,94042,99393,167765,141197,134303,122577,109372,127419,149236,143637,230277,133262,149928,188939,194477,179807,149084,140637,141927,139790,146884,159061,222442,152114,148841,173067,261257,126714,194883,181503,185270,173729,172612,228230,193060,187868,204945,225357,286965,183405,216022,204677,211888,211415,216427,236687,315390,230086,239771,244257,304676,252856,249967,240136,254287,238580,228502,255714,295898,241714,246029,255844,336525,242042
